Unit Id,Institution name,"Type of cost,  residency, and student housing",2021,2020,2019,2018,2017
100654,Alabama A & M University,On-campus in-state,24234,23954,23954,23462,23057
100654,Alabama A & M University,       In-state tuition and fees,10024,10024,10024,9744,9857
100654,Alabama A & M University,       On-campus room and board,9520,9240,9240,9128,9020
100654,Alabama A & M University,       On-campus other expenses,3090,3090,3090,2990,2580
100654,Alabama A & M University,       Books and supplies,1600,1600,1600,1600,1600
100663,University of Alabama at Birmingham,On-campus in-state,27630,27630,27630,26336,26096
100663,University of Alabama at Birmingham,       In-state tuition and fees,8568,8568,8568,8568,8328
100663,University of Alabama at Birmingham,       On-campus room and board,12307,12307,12307,11682,11682
100663,University of Alabama at Birmingham,       On-campus other expenses,5555,5555,5555,4886,4886
100663,University of Alabama at Birmingham,       Books and supplies,1200,1200,1200,1200,1200
100690,Amridge University,On-campus in-state,,,,16900,8400
100690,Amridge University,       In-state tuition and fees,,,,13900,6900
100690,Amridge University,       On-campus room and board,,,,0,0
100690,Amridge University,       On-campus other expenses,,,,0,0
100690,Amridge University,       Books and supplies,,,,3000,1500
100706,University of Alabama in Huntsville,On-campus in-state,28708,28266,27636,26650,25681
100706,University of Alabama in Huntsville,       In-state tuition and fees,11488,11338,11122,10714,10280
100706,University of Alabama in Huntsville,       On-campus room and board,10764,10652,10400,10094,9748
100706,University of Alabama in Huntsville,       On-campus other expenses,4156,4076,3994,3808,3697
100706,University of Alabama in Huntsville,       Books and supplies,2300,2200,2120,2034,1956
100724,Alabama State University,On-campus in-state,22110,22110,22110,22110,21482
100724,Alabama State University,       In-state tuition and fees,11068,11068,11068,11068,11068
100724,Alabama State University,       On-campus room and board,6050,6050,6050,6050,5422
100724,Alabama State University,       On-campus other expenses,3392,3392,3392,3392,3392
100724,Alabama State University,       Books and supplies,1600,1600,1600,1600,1600
100751,The University of Alabama,On-campus in-state,31024,31050,30016,29872,29424
100751,The University of Alabama,       In-state tuition and fees,11620,11620,10780,10780,10780
100751,The University of Alabama,       On-campus room and board,13934,13810,13636,13402,13324
100751,The University of Alabama,       On-campus other expenses,4670,4620,4600,4490,4120
100751,The University of Alabama,       Books and supplies,800,1000,1000,1200,1200
100760,Central Alabama Community College,On-campus in-state,5930,5930,6070,5940,5640
100760,Central Alabama Community College,       In-state tuition and fees,4930,4930,4870,4740,4440
100760,Central Alabama Community College,       On-campus room and board,0,0,0,0,0
100760,Central Alabama Community College,       On-campus other expenses,0,0,0,0,0
100760,Central Alabama Community College,       Books and supplies,1000,1000,1200,1200,1200
100830,Auburn University at Montgomery,On-campus in-state,21258,20870,20650,20314,19790
100830,Auburn University at Montgomery,       In-state tuition and fees,8860,8860,8620,8404,8020
100830,Auburn University at Montgomery,       On-campus room and board,7368,6980,6980,6980,6980
100830,Auburn University at Montgomery,       On-campus other expenses,3830,3830,3850,3730,3690
100830,Auburn University at Montgomery,       Books and supplies,1200,1200,1200,1200,1100
100858,Auburn University,On-campus in-state,33650,32678,32196,31590,31282
100858,Auburn University,       In-state tuition and fees,11826,11796,11492,11276,10968
100858,Auburn University,       On-campus room and board,14596,13778,13600,13332,13332
100858,Auburn University,       On-campus other expenses,6028,5904,5904,5782,5782
100858,Auburn University,       Books and supplies,1200,1200,1200,1200,1200
100937,Birmingham-Southern College,On-campus in-state,37470,35830,35090,34600,52414
100937,Birmingham-Southern College,       In-state tuition and fees,20100,18900,18238,17650,35804
100937,Birmingham-Southern College,       On-campus room and board,13600,12900,12402,12500,12350
100937,Birmingham-Southern College,       On-campus other expenses,2770,2770,3190,3190,3000
100937,Birmingham-Southern College,       Books and supplies,1000,1260,1260,1260,1260
101028,Chattahoochee Valley Community College,On-campus in-state,4736,5920,5860,5738,5900
101028,Chattahoochee Valley Community College,       In-state tuition and fees,3936,4920,4860,4738,4500
101028,Chattahoochee Valley Community College,       On-campus room and board,0,0,0,0,0
101028,Chattahoochee Valley Community College,       On-campus other expenses,0,0,0,0,0
101028,Chattahoochee Valley Community College,       Books and supplies,800,1000,1000,1000,1400
101116,South University-Montgomery,On-campus in-state,18514,18514,18514,18514,18514
101116,South University-Montgomery,       In-state tuition and fees,17014,17014,17014,17014,17014
101116,South University-Montgomery,       On-campus room and board,0,0,0,0,0
101116,South University-Montgomery,       On-campus other expenses,0,0,0,0,0
101116,South University-Montgomery,       Books and supplies,1500,1500,1500,1500,1500
101143,Enterprise State Community College,On-campus in-state,5810,5810,6000,5940,5440
101143,Enterprise State Community College,       In-state tuition and fees,4860,4860,4800,4740,4440
101143,Enterprise State Community College,       On-campus room and board,0,0,0,0,0
101143,Enterprise State Community College,       On-campus other expenses,0,0,0,0,0
