Unit Id,Institution name,"Type of cost,  residency, and student housing",2021,2020,2019,2018,2017
100654,Alabama A & M University,On-campus out-of-state,32844,32564,32564,32072,31436
100654,Alabama A & M University,       Out-of-state  tuition and fees,18634,18634,18634,18354,18236
100654,Alabama A & M University,       On-campus room and board,9520,9240,9240,9128,9020
100654,Alabama A & M University,       On-campus other expenses,3090,3090,3090,2990,2580
100654,Alabama A & M University,       Books and supplies,1600,1600,1600,1600,1600
100663,University of Alabama at Birmingham,On-campus out-of-state,39462,39462,39462,37472,36800
100663,University of Alabama at Birmingham,       Out-of-state  tuition and fees,20400,20400,20400,19704,19032
100663,University of Alabama at Birmingham,       On-campus room and board,12307,12307,12307,11682,11682
100663,University of Alabama at Birmingham,       On-campus other expenses,5555,5555,5555,4886,4886
100663,University of Alabama at Birmingham,       Books and supplies,1200,1200,1200,1200,1200
100690,Amridge University,On-campus out-of-state,,,,16900,8400
100690,Amridge University,       Out-of-state  tuition and fees,,,,13900,6900
100690,Amridge University,       On-campus room and board,,,,0,0
100690,Amridge University,       On-campus other expenses,,,,0,0
100690,Amridge University,       Books and supplies,,,,3000,1500
100706,University of Alabama in Huntsville,On-campus out-of-state,41104,40662,40032,38298,36881
100706,University of Alabama in Huntsville,       Out-of-state  tuition and fees,23884,23734,23518,22362,21480
100706,University of Alabama in Huntsville,       On-campus room and board,10764,10652,10400,10094,9748
100706,University of Alabama in Huntsville,       On-campus other expenses,4156,4076,3994,3808,3697
100706,University of Alabama in Huntsville,       Books and supplies,2300,2200,2120,2034,1956
100724,Alabama State University,On-campus out-of-state,30438,30438,30438,30438,29810
100724,Alabama State University,       Out-of-state  tuition and fees,19396,19396,19396,19396,19396
100724,Alabama State University,       On-campus room and board,6050,6050,6050,6050,5422
100724,Alabama State University,       On-campus other expenses,3392,3392,3392,3392,3392
100724,Alabama State University,       Books and supplies,1600,1600,1600,1600,1600
100751,The University of Alabama,On-campus out-of-state,50494,50520,49486,48322,46744
100751,The University of Alabama,       Out-of-state  tuition and fees,31090,31090,30250,29230,28100
100751,The University of Alabama,       On-campus room and board,13934,13810,13636,13402,13324
100751,The University of Alabama,       On-campus other expenses,4670,4620,4600,4490,4120
100751,The University of Alabama,       Books and supplies,800,1000,1000,1200,1200
100760,Central Alabama Community College,On-campus out-of-state,9620,9860,10000,9810,9210
100760,Central Alabama Community College,       Out-of-state  tuition and fees,8620,8860,8800,8610,8010
100760,Central Alabama Community College,       On-campus room and board,0,0,0,0,0
100760,Central Alabama Community College,       On-campus other expenses,0,0,0,0,0
100760,Central Alabama Community College,       Books and supplies,1000,1000,1200,1200,1200
100830,Auburn University at Montgomery,On-campus out-of-state,31218,30830,30322,29722,28910
100830,Auburn University at Montgomery,       Out-of-state  tuition and fees,18820,18820,18292,17812,17140
100830,Auburn University at Montgomery,       On-campus room and board,7368,6980,6980,6980,6980
100830,Auburn University at Montgomery,       On-campus other expenses,3830,3830,3850,3730,3690
100830,Auburn University at Montgomery,       Books and supplies,1200,1200,1200,1200,1100
100858,Auburn University,On-campus out-of-state,53810,52838,51828,50838,49954
100858,Auburn University,       Out-of-state  tuition and fees,31986,31956,31124,30524,29640
100858,Auburn University,       On-campus room and board,14596,13778,13600,13332,13332
100858,Auburn University,       On-campus other expenses,6028,5904,5904,5782,5782
100858,Auburn University,       Books and supplies,1200,1200,1200,1200,1200
100937,Birmingham-Southern College,On-campus out-of-state,37470,35830,35090,34600,52414
100937,Birmingham-Southern College,       Out-of-state  tuition and fees,20100,18900,18238,17650,35804
100937,Birmingham-Southern College,       On-campus room and board,13600,12900,12402,12500,12350
100937,Birmingham-Southern College,       On-campus other expenses,2770,2770,3190,3190,3000
100937,Birmingham-Southern College,       Books and supplies,1000,1260,1260,1260,1260
101028,Chattahoochee Valley Community College,On-campus out-of-state,7928,9910,9790,9608,9470
101028,Chattahoochee Valley Community College,       Out-of-state  tuition and fees,7128,8910,8790,8608,8070
101028,Chattahoochee Valley Community College,       On-campus room and board,0,0,0,0,0
101028,Chattahoochee Valley Community College,       On-campus other expenses,0,0,0,0,0
101028,Chattahoochee Valley Community College,       Books and supplies,800,1000,1000,1000,1400
101116,South University-Montgomery,On-campus out-of-state,18514,18514,18514,18514,18514
101116,South University-Montgomery,       Out-of-state  tuition and fees,17014,17014,17014,17014,17014
101116,South University-Montgomery,       On-campus room and board,0,0,0,0,0
101116,South University-Montgomery,       On-campus other expenses,0,0,0,0,0
101116,South University-Montgomery,       Books and supplies,1500,1500,1500,1500,1500
101143,Enterprise State Community College,On-campus out-of-state,9500,9800,9930,9810,9010
101143,Enterprise State Community College,       Out-of-state  tuition and fees,8550,8850,8730,8610,8010
101143,Enterprise State Community College,       On-campus room and board,0,0,0,0,0
101143,Enterprise State Community College,       On-campus other expenses,0,0,0,0,0
101143,Enterprise State Community College,       Books and supplies,950,950,1200,1200,1000
101161,Coastal Alabama Community College,On-campus out-of-state,20657,21557,20537,20306,17550
101161,Coastal Alabama Community College,       Out-of-state  tuition and fees,8850,8850,8730,8610,7890
101161,Coastal Alabama Community College,       On-campus room and board,5900,5900,5900,5900,5800
101161,Coastal Alabama Community College,       On-campus other expenses,4407,4307,4459,4346,2310
101161,Coastal Alabama Community College,       Books and supplies,1500,2500,1448,1450,1550
101189,Faulkner University,On-campus out-of-state,37590,37290,36010,35440,34370
101189,Faulkner University,       Out-of-state  tuition and fees,23490,22990,22310,21690,20970
101189,Faulkner University,       On-campus room and board,7900,8100,7500,7750,7400
101189,Faulkner University,       On-campus other expenses,4400,4400,4400,4200,4200
101189,Faulkner University,       Books and supplies,1800,1800,1800,1800,1800
101240,Gadsden State Community College,On-campus out-of-state,15612,15852,14557,14481,13881
101240,Gadsden State Community College,       Out-of-state  tuition and fees,6888,7128,7032,7056,6456
101240,Gadsden State Community College,       On-campus room and board,4800,4800,3600,3600,3600
101240,Gadsden State Community College,       On-campus other expenses,2324,2324,2325,2325,2325
101240,Gadsden State Community College,       Books and supplies,1600,1600,1600,1500,1500
101286,George C Wallace Community College-Dothan,On-campus out-of-state,9990,9990,10570,10450,9850
101286,George C Wallace Community College-Dothan,       Out-of-state  tuition and fees,8790,8790,8670,8550,7950
101286,George C Wallace Community College-Dothan,       On-campus room and board,0,0,0,0,0
101286,George C Wallace Community College-Dothan,       On-campus other expenses,0,0,0,0,0
101286,George C Wallace Community College-Dothan,       Books and supplies,1200,1200,1900,1900,1900
101295,George C Wallace State Community College-Hanceville,On-campus out-of-state,21210,19910,19390,18970,18170
101295,George C Wallace State Community College-Hanceville,       Out-of-state  tuition and fees,8550,8850,8730,8610,8010
101295,George C Wallace State Community College-Hanceville,       On-campus room and board,4900,4900,4900,4600,4600
101295,George C Wallace State Community College-Hanceville,       On-campus other expenses,6160,4560,4160,4160,4160
101295,George C Wallace State Community College-Hanceville,       Books and supplies,1600,1600,1600,1600,1400
101301,George C Wallace State Community College-Selma,On-campus out-of-state,10750,11050,10930,10810,9585
101301,George C Wallace State Community College-Selma,       Out-of-state  tuition and fees,8250,8550,8430,8310,7710
101301,George C Wallace State Community College-Selma,       On-campus room and board,0,0,0,0,0
101301,George C Wallace State Community College-Selma,       On-campus other expenses,0,0,0,0,0
101301,George C Wallace State Community College-Selma,       Books and supplies,2500,2500,2500,2500,1875
101365,Herzing University-Birmingham,On-campus out-of-state,14200,14200,14200,14000,13850
101365,Herzing University-Birmingham,       Out-of-state  tuition and fees,14200,14200,14200,14000,13850
101365,Herzing University-Birmingham,       On-campus room and board,0,0,0,0,0
101365,Herzing University-Birmingham,       On-campus other expenses,0,0,0,0,0
101365,Herzing University-Birmingham,       Books and supplies,0,0,0,0,0
101435,Huntingdon College,On-campus out-of-state,40728,40418,38685,38485,37235
101435,Huntingdon College,       Out-of-state  tuition and fees,27900,27900,27400,27400,26400
101435,Huntingdon College,       On-campus room and board,10460,10150,9950,9750,9500
101435,Huntingdon College,       On-campus other expenses,2068,2068,1035,1035,1035
101435,Huntingdon College,       Books and supplies,300,300,300,300,300
101453,Heritage Christian University,On-campus out-of-state,20983,20743,21463,20695,19659
101453,Heritage Christian University,       Out-of-state  tuition and fees,11632,11532,11532,11232,11232
101453,Heritage Christian University,       On-campus room and board,5822,5745,5745,5745,4740
101453,Heritage Christian University,       On-campus other expenses,2529,2466,3186,2718,2687
101453,Heritage Christian University,       Books and supplies,1000,1000,1000,1000,1000
101462,J. F. Drake State Community and Technical College,On-campus out-of-state,10520,10820,10700,10580,9980
101462,J. F. Drake State Community and Technical College,       Out-of-state  tuition and fees,8520,8820,8700,8580,7980
101462,J. F. Drake State Community and Technical College,       On-campus room and board,0,0,0,0,0
101462,J. F. Drake State Community and Technical College,       On-campus other expenses,0,0,0,0,0
101462,J. F. Drake State Community and Technical College,       Books and supplies,2000,2000,2000,2000,2000
101471,J F Ingram State Technical College,On-campus out-of-state,6084,6084,6012,5940,5580
101471,J F Ingram State Technical College,       Out-of-state  tuition and fees,5472,5472,5400,5328,4968
101471,J F Ingram State Technical College,       On-campus room and board,0,0,0,0,0
101471,J F Ingram State Technical College,       On-campus other expenses,0,0,0,0,0
101471,J F Ingram State Technical College,       Books and supplies,612,612,612,612,612
101480,Jacksonville State University,On-campus out-of-state,32353,32149,31551,27389,27976
101480,Jacksonville State University,       Out-of-state  tuition and fees,20840,20840,20840,16536,15582
101480,Jacksonville State University,       On-campus room and board,8320,8110,8000,7494,7898
101480,Jacksonville State University,       On-campus other expenses,1997,2003,1507,2339,2998
101480,Jacksonville State University,       Books and supplies,1196,1196,1204,1020,1498
101505,Jefferson State Community College,On-campus out-of-state,10162,11454,11882,10860,10184
101505,Jefferson State Community College,       Out-of-state  tuition and fees,8610,9840,9720,8670,8070
101505,Jefferson State Community College,       On-campus room and board,0,0,0,0,0
101505,Jefferson State Community College,       On-campus other expenses,0,0,0,0,0
101505,Jefferson State Community College,       Books and supplies,1552,1614,2162,2190,2114
101514,John C Calhoun State Community College,On-campus out-of-state,11280,11580,11310,10190,9590
101514,John C Calhoun State Community College,       Out-of-state  tuition and fees,8630,8930,8810,8690,8090
101514,John C Calhoun State Community College,       On-campus room and board,0,0,0,0,0
101514,John C Calhoun State Community College,       On-campus other expenses,0,0,0,0,0
101514,John C Calhoun State Community College,       Books and supplies,2650,2650,2500,1500,1500
101569,Lawson State Community College,On-campus out-of-state,18610,18910,18790,18670,17370
101569,Lawson State Community College,       Out-of-state  tuition and fees,8550,8850,8730,8610,8010
