University_id  ,Rank                   ,  Institution                   ,  Country                   ,   
166683,1,Massachusetts Institute of Technology, USA    ,
243744,2,Standford University  , USA    ,
166027,3,Harvard University, USA    ,
110404,4,California Institute of Technology, USA    ,
144050,5,University of Chicago, USA    ,
186131,6,Princeton University, USA    ,
215062,7,University of Pennsylvania, USA    ,
130794,8,Yale University, USA    ,
190415,9,Cornell University, USA    ,
190150,10,Columbia University in the City of New York, USA    ,
170976,11,University of Michigan-Ann Arbor, USA    ,
162928,12,Johns Hopkins University, USA    ,
147767,13,Northwestern University, USA    ,
110635,14,University of California-Berkeley, USA    ,
193900,15,New York University, USA    ,
110662,16,University of California-Los Angeles, USA    ,
198419,17,Duke University, USA    ,
211440,18,Carnegie Mellon University, USA    ,
110680,19,University of California-San Diego, USA    ,
217156,20,Brown University, USA    ,
240444,21,University of Wisconsin-Madison, USA    ,
228778,22,University of Texas at Austin, USA    ,
236948,23,University of Washington, USA    ,
139755,24,Georgia Institute of Technology, USA    ,
145637,25,University of Illinois Urbana-Champaign, USA    ,
26,89,  Rice University  , USA    ,
27,95,  University of North Carolina at Chapel Hill  , USA    ,
28,101,  Pennsylvania State University  , USA    ,
29,105,  Washington University in St. Louis  , USA    ,
30,108,  Ohio State University  , USA    ,
31,109,  Purdue University  , USA    ,
32,110,  Boston University  , USA    ,
33,112,  University of California - Davis  , USA    ,
34,121,  University of Southern California  , USA    ,
35,152,  University of California - Santa Barbara  , USA    ,
36,152,  University of Maryland at College Park  , USA    ,
37,156,  University of Pittsburgh  , USA    ,
38,157,  Michigan State University  , USA    ,
39,158,  Emory University  , USA    ,
40,162,  University of Florida  , USA    ,
41,162,  Case Western Reserve University  , USA    ,
42,166,  University of Rochester  , USA    ,
43,169,  Texas A&M University  , USA    ,
44,177,  University of Minnesota - Twin Cities  , USA    ,
45,187,  Vanderbilt University  , USA    ,
46,203,  Dartmouth College  , USA    ,
47,210,  University of California - Irvine  , USA    ,
48,211,  University of Notre Dame  , USA    ,
49,217,  University of Virginia  , USA    ,
50,220,  Arizona State University  , USA    ,
51,230,  University of Colorado at Boulder  , USA    ,
52,230,  Georgetown University  , USA    ,
53,256,  University of Illinois at Chicago  , USA    ,
54,258,  Rutgers - The State University of New Jersey  , USA    ,
55,260,  Tufts University  , USA    ,
56,270,  University of Massachusetts - Amherst  , USA    ,
57,273,  University of Arizona  , USA    ,
58,291,  University of Miami  , USA    ,
59,295,  North Carolina State University  , USA    ,
60,320,  Indiana University at Bloomington  , USA    ,
61,326,  Virginia Polytechnic Institute and State University  , USA    ,
62,333,  University of Hawaii at Manoa  , USA    ,
63,333,  University of Utah  , USA    ,
64,341,  Yeshiva University  , USA    ,
65,346,  State University of New York at Buffalo  , USA    ,
66,353,  George Washington University  , USA    ,
67,362,  Northeastern University  , USA    ,
68,373,  State University of New York at Stony Brook  , USA    ,
69,380,  Wake Forest University  , USA    ,
70,383,  University of Kansas  , USA    ,
