UNITID,SATVRMID,SATMTMID
100654,425,428
100663,535,645
100690,NULL,NULL
100706,605,600
100724,433,428
100751,585,580
100760,NULL,NULL
100812,NULL,NULL
100830,529,519
100858,610,610
100937,575,570
101028,NULL,NULL
101073,NULL,NULL
101116,NULL,NULL
101143,NULL,NULL
101161,NULL,NULL
101189,525,510
101240,NULL,NULL
101277,NULL,NULL
101286,NULL,NULL
101295,NULL,NULL
101301,NULL,NULL
101365,NULL,NULL
101435,543,540
101453,NULL,NULL
101462,NULL,NULL
101471,NULL,NULL
101480,475,470
101499,NULL,NULL
101505,NULL,NULL
101514,NULL,NULL
101541,NULL,NULL
101569,NULL,NULL
101587,480,460
101602,NULL,NULL
101648,580,590
101675,NULL,NULL
101693,510,495
101709,530,520
101736,NULL,NULL
101879,563,518
101897,NULL,NULL
101912,515,480
101949,NULL,NULL
101994,NULL,NULL
102030,NULL,NULL
102049,600,580
102058,NULL,NULL
102067,NULL,NULL
102076,NULL,NULL
102094,560,545
102234,558,548
102270,NULL,NULL
102298,NULL,NULL
102313,NULL,NULL
102368,540,535
102377,490,470
102395,NULL,NULL
102429,NULL,NULL
102553,NULL,NULL
102580,NULL,NULL
102614,575,575
102632,NULL,NULL
102669,NULL,NULL
102711,NULL,NULL
102845,NULL,NULL
103501,NULL,NULL
103741,NULL,NULL
103778,NULL,NULL
103811,NULL,NULL
103893,NULL,NULL
103909,NULL,NULL
103927,NULL,NULL
103945,NULL,NULL
103954,NULL,NULL
103963,NULL,NULL
104090,NULL,NULL
104151,615,620
104160,NULL,NULL
104179,NULL,NULL
104188,NULL,NULL
104346,NULL,NULL
104364,NULL,NULL
104391,NULL,NULL
104425,NULL,NULL
104434,NULL,NULL
104443,NULL,NULL
104504,NULL,NULL
104568,NULL,NULL
104577,NULL,NULL
104586,615,625
104665,NULL,NULL
104708,NULL,NULL
104717,NULL,NULL
105145,NULL,NULL
105154,NULL,NULL
105206,NULL,NULL
105215,NULL,NULL
105297,NULL,NULL
105330,NULL,NULL
105349,NULL,NULL
105367,NULL,NULL
105428,NULL,NULL
105482,NULL,NULL
105525,NULL,NULL
105534,NULL,NULL
105543,NULL,NULL
105589,593,530
105659,NULL,NULL
105668,NULL,NULL
105677,NULL,NULL
105701,NULL,NULL
105747,NULL,NULL
105792,NULL,NULL
105899,485,480
106041,NULL,NULL
106102,NULL,NULL
106111,NULL,NULL
106148,NULL,NULL
106245,560,570
106263,NULL,NULL
106306,NULL,NULL
106315,NULL,NULL
106324,NULL,NULL
106342,556,576
106351,NULL,NULL
106360,NULL,NULL
106397,600,595
106412,497,475
106449,NULL,NULL
106458,557,567
106467,NULL,NULL
106485,NULL,NULL
106494,NULL,NULL
106546,NULL,NULL
106625,NULL,NULL
106704,513,540
106713,488,502
106795,NULL,NULL
106810,NULL,NULL
106829,NULL,NULL
106883,NULL,NULL
106892,NULL,NULL
106908,NULL,NULL
106980,NULL,NULL
106999,NULL,NULL
107044,590,575
107071,517,522
107080,635,620
107099,NULL,NULL
107123,NULL,NULL
107141,615,580
107220,NULL,NULL
107293,NULL,NULL
107318,NULL,NULL
107327,NULL,NULL
107442,NULL,NULL
107460,NULL,NULL
107488,NULL,NULL
107512,590,550
107521,NULL,NULL
107549,NULL,NULL
107558,530,525
107585,NULL,NULL
107600,NULL,NULL
107619,NULL,NULL
107637,NULL,NULL
107655,NULL,NULL
107664,NULL,NULL
107725,NULL,NULL
107743,NULL,NULL
107789,NULL,NULL
107831,NULL,NULL
107840,NULL,NULL
107877,NULL,NULL
107974,NULL,NULL
107983,515,530
107992,NULL,NULL
108065,NULL,NULL
108092,NULL,NULL
108232,NULL,NULL
108269,NULL,NULL
108348,NULL,NULL
108649,NULL,NULL
108667,NULL,NULL
108807,NULL,NULL
108852,NULL,NULL
108861,NULL,NULL
108870,NULL,NULL
108977,NULL,NULL
109040,NULL,NULL
109086,NULL,NULL
109208,NULL,NULL
109350,NULL,NULL
109651,NULL,NULL
109721,NULL,NULL
109730,NULL,NULL
109785,545,560
109819,NULL,NULL
109907,NULL,NULL
109934,NULL,NULL
110060,NULL,NULL
110097,601,580
110194,NULL,NULL
110219,NULL,NULL
110246,NULL,NULL
110307,NULL,NULL
110316,NULL,NULL
110334,NULL,NULL
110361,550,535
110370,NULL,NULL
110398,NULL,NULL
110404,770,790
110413,580,565
110422,640,650
110468,NULL,NULL
110486,NULL,NULL
110495,NULL,NULL
110510,505,495
110529,555,565
110538,545,535
110547,NULL,NULL
110556,510,500
110565,550,550
110574,NULL,NULL
110583,560,565
110592,495,490
110608,515,500
110617,520,520
110635,675,695
110644,610,635
110653,615,645
110662,665,670
110671,595,600
110680,640,670
110699,NULL,NULL
110705,640,655
110714,620,630
110778,NULL,NULL
110875,NULL,NULL
110918,NULL,NULL
111054,NULL,NULL
111081,NULL,NULL
111188,NULL,NULL
111391,NULL,NULL
111434,NULL,NULL
111461,NULL,NULL
111513,NULL,NULL
111638,NULL,NULL
111708,NULL,NULL
111717,NULL,NULL
111726,NULL,NULL
111744,NULL,NULL
111762,NULL,NULL
111799,NULL,NULL
111887,NULL,NULL
111896,NULL,NULL
111920,NULL,NULL
111939,NULL,NULL
111948,640,635
111966,565,577
112075,560,545
112084,465,450
112127,NULL,NULL
112172,NULL,NULL
112181,NULL,NULL
112190,NULL,NULL
112251,NULL,NULL
112260,700,725
112288,NULL,NULL
112367,NULL,NULL
112385,NULL,NULL
112394,NULL,NULL
112446,NULL,NULL
112455,NULL,NULL
112525,NULL,NULL
112561,NULL,NULL
112570,NULL,NULL
112686,NULL,NULL
112826,NULL,NULL
113096,NULL,NULL
113111,NULL,NULL
113193,NULL,NULL
113218,NULL,NULL
113236,NULL,NULL
113333,NULL,NULL
113449,NULL,NULL
113537,NULL,NULL
113573,NULL,NULL
113582,NULL,NULL
113634,NULL,NULL
113698,575,553
113704,NULL,NULL
113856,NULL,NULL
113980,NULL,NULL
114044,NULL,NULL
114114,NULL,NULL
114123,NULL,NULL
114266,NULL,NULL
114354,NULL,NULL
114390,NULL,NULL
114415,NULL,NULL
114433,NULL,NULL
114460,NULL,NULL
114549,NULL,NULL
114585,NULL,NULL
114628,NULL,NULL
114637,NULL,NULL
114716,NULL,NULL
114734,NULL,NULL
114761,NULL,NULL
114789,NULL,NULL
114813,537,523
114840,NULL,NULL
114859,NULL,NULL
114938,NULL,NULL
114947,NULL,NULL
115001,NULL,NULL
115010,NULL,NULL
115083,NULL,NULL
115126,NULL,NULL
115214,NULL,NULL
115296,NULL,NULL
115357,NULL,NULL
115393,NULL,NULL
115409,745,775
115658,NULL,NULL
115728,305,495
115746,NULL,NULL
115755,540,520
115773,NULL,NULL
115861,NULL,NULL
115931,NULL,NULL
116226,NULL,NULL
116350,NULL,NULL
116439,NULL,NULL
116563,NULL,NULL
116712,NULL,NULL
116846,NULL,NULL
117052,NULL,NULL
117104,529,484
117113,NULL,NULL
117140,555,552
117168,NULL,NULL
117195,NULL,NULL
117238,NULL,NULL
117247,NULL,NULL
117274,NULL,NULL
117520,NULL,NULL
117557,NULL,NULL
117575,NULL,NULL
117627,521,475
117636,NULL,NULL
117645,NULL,NULL
117672,NULL,NULL
117690,NULL,NULL
117706,NULL,NULL
117715,NULL,NULL
117724,NULL,NULL
117733,NULL,NULL
117751,580,555
117788,NULL,NULL
117803,NULL,NULL
117867,NULL,NULL
117894,NULL,NULL
