# University Ranking Results - www.universityrankings.ch
# Ranking: QS
# Year: 2019
#
   #    ,  World Rank                   ,  Institution                   ,  Country                   ,   
  1,1  ,  Massachusetts Institute of Technology - MIT  , USA    
  2,2  ,  Stanford University  , USA    
  3,3  ,  Harvard University  , USA    
  4,4  ,  California Institute of Technology - Caltech  , USA    
  5,9  ,  University of Chicago  , USA    
  6,13  ,  Princeton University  , USA    
  7,14  ,  Cornell University  , USA    
  8,15  ,  Yale University  , USA    
  9,16  ,  Columbia University  , USA    
  10,19  ,  University of Pennsylvania  , USA    
  11,20  ,  University of Michigan - Ann Arbor  , USA    
  12,21  ,  Johns Hopkins University  , USA    
  13,26  ,  Duke University  , USA    
  14,27  ,  University of California - Berkeley  , USA    
  15,32  ,  University of California - Los Angeles  , USA    
  16,34  ,  Northwestern University  , USA    
  17,41  ,  University of California - San Diego  , USA    
  18,43  ,  New York University  , USA    
  19,46  ,  Carnegie Mellon University  , USA    
  20,53  ,  University of Wisconsin-Madison  , USA    
  21,56  ,  Brown University  , USA    
  22,63  ,  University of Texas at Austin  , USA    
  23,66  ,  University of Washington  , USA    
  24,69  ,  Georgia Institute of Technology  , USA    
  25,71  ,  University of Illinois at Urbana-Champaign  , USA    
  26,83  ,  University of North Carolina at Chapel Hill  , USA    
  27,87  ,  Rice University  , USA    
  28,89  ,  Ohio State University  , USA    
  29,93  ,  Boston University  , USA    
  30,95  ,  Pennsylvania State University  , USA    
  31,100  ,  University of California - Davis  , USA    
  32,100  ,  Purdue University  , USA    
  33,100  ,  Washington University in St. Louis  , USA    
  34,115  ,  University of Southern California  , USA    
  35,126  ,  University of Maryland at College Park  , USA    
  36,132  ,  University of California - Santa Barbara  , USA    
  37,136  ,  University of Pittsburgh  , USA    
  38,141  ,  Michigan State University  , USA    
  39,148  ,  Emory University  , USA    
  40,156  ,  University of Minnesota  , USA    
  41,169  ,  University of California - Irvine  , USA    
  42,180  ,  University of Florida  , USA    
  43,183  ,  Dartmouth College  , USA    
  44,184  ,  University of Rochester  , USA    
  45,186  ,  Case Western Reserve University  , USA    
  46,190  ,  University of Colorado at Boulder  , USA    
  47,192  ,  University of Virginia  , USA    
  48,195  ,  Vanderbilt University  , USA    
  49,203  ,  Texas A&M University  , USA    
  50,212  ,  Arizona State University  , USA    
  51,212  ,  University of Notre Dame  , USA    
  52,214  ,  University of Illinois at Chicago  , USA    
  53,226  ,  Georgetown University  , USA    
  54,237  ,  Tufts University  , USA    
  55,242  ,  University of Miami  , USA    
  56,246  ,  University of Arizona  , USA    
  57,259  ,  University of Massachusetts - Amherst  , USA    
  58,279  ,  North Carolina State University  , USA    
  59,283  ,  Rutgers - The State University of New Jersey  , USA    
  60,302  ,  University of Hawaii at Manoa  , USA    
  61,310  ,  Yeshiva University  , USA    
  62,313  ,  State University of New York at Buffalo  , USA    
  63,323  ,  Indiana University at Bloomington  , USA    
  64,326  ,  Northeastern University  , USA    
  65,336  ,  University of California - Santa Cruz  , USA    
  66,338  ,  Virginia Polytechnic Institute and State University  , USA    
  67,345  ,  George Washington University  , USA    
  68,345  ,  Rensselaer Polytechnic Institute  , USA    
  69,345  ,  University of Utah  , USA    
  70,349  ,  State University of New York at Stony Brook  , USA    
  71,367  ,  University of Kansas  , USA    
  72,373  ,  University of Connecticut  , USA    
  73,376  ,  Boston College  , USA    
  74,384  ,  University of California - Riverside  , USA    
  75,387  ,  Wake Forest University  , USA    
  76,391  ,  Washington State University  , USA    
  77,397  ,  University of Colorado at Denver  , USA    
  78,412  ,  Tulane University  , USA    
  79,419  ,  University of Tennessee - Knoxville  , USA    
  80,426  ,  Illinois Institute of Technology  , USA    
  81,426  ,  University of Texas at Dallas  , USA    
  82,429  ,  Brandeis University  , USA    
  83,431  ,  University of Georgia  , USA    
  84,435  ,  University of Iowa  , USA    
  85,439  ,  University of Delaware  , USA    
  86,439  ,  Wayne State University  , USA    
  87,450  ,  Colorado State University  , USA    
  88,450  ,  Oregon State University  , USA    
  89,453  ,  University of Maryland Baltimore County  , USA    
  90,461  ,  Clark University  , USA    
  91,472  ,  Florida State University  , USA    
  92,489  ,  Iowa State University  , USA    
  93,494  ,  University of New Mexico  , USA    
  94,495  ,  University of Oklahoma  , USA    
  95,501-510  ,  Howard University  , USA    
  96,501-510  ,  Drexel University  , USA    
  97,501-510  ,  Lehigh University  , USA    
  98,521-530  ,  University of South Florida  , USA    
  99,531-540  ,  The New School  , USA    
  100,531-540  ,  University of Vermont  , USA    
  101,541-550  ,  American University  , USA    
  102,541-550  ,  University of Cincinnati  , USA    
  103,551-560  ,  University of Kentucky  , USA    
  104,551-560  ,  University of Nebraska - Lincoln  , USA    
  105,551-560  ,  Syracuse University  , USA    
  106,561-570  ,  Indiana University-Purdue University of Indianapolis  , USA    
  107,561-570  ,  University of South Carolina  , USA    
  108,581-590  ,  University of Massachusetts at Boston  , USA    
  109,581-590  ,  University of Oregon  , USA    
  110,581-590  ,  College of William and Mary  , USA    
  111,591-600  ,  Michigan Technological University  , USA    
  112,591-600  ,  University of Missouri - Columbia  , USA    
  113,601-650  ,  Smith College  , USA    
  114,601-650  ,  Worcester Polytechnic Institute  , USA    
  115,601-650  ,  Rutgers - The State University of New Jersey  , USA    
  116,601-650  ,  City University of New York  , USA    
  117,601-650  ,  Clarkson University  , USA    
  118,601-650  ,  Virginia Commonwealth University  , USA    
  119,651-700  ,  University of Denver  , USA    
  120,651-700  ,  Louisiana State University  , USA    
