# University Ranking Results - www.universityrankings.ch
# Ranking: Times
# Year: 2019
#
   #    ,  World Rank                   ,  Institution                   ,  Country                   ,   
  1,3  ,  Stanford University  , USA    
  2,4  ,  Massachusetts Institute of Technology - MIT  , USA    
  3,5  ,  California Institute of Technology - Caltech  , USA    
  4,6  ,  Harvard University  , USA    
  5,7  ,  Princeton University  , USA    
  6,8  ,  Yale University  , USA    
  7,10  ,  University of Chicago  , USA    
  8,12  ,  Johns Hopkins University  , USA    
  9,12  ,  University of Pennsylvania  , USA    
  10,15  ,  University of California - Berkeley  , USA    
  11,16  ,  Columbia University  , USA    
  12,17  ,  University of California - Los Angeles  , USA    
  13,18  ,  Duke University  , USA    
  14,19  ,  Cornell University  , USA    
  15,20  ,  University of Michigan - Ann Arbor  , USA    
  16,24  ,  Carnegie Mellon University  , USA    
  17,25  ,  Northwestern University  , USA    
  18,27  ,  New York University  , USA    
  19,28  ,  University of Washington  , USA    
  20,30  ,  University of California - San Diego  , USA    
  21,34  ,  Georgia Institute of Technology  , USA    
  22,39  ,  University of Texas at Austin  , USA    
  23,43  ,  University of Wisconsin-Madison  , USA    
  24,50  ,  University of Illinois at Urbana-Champaign  , USA    
  25,52  ,  University of California - Santa Barbara  , USA    
  26,53  ,  Brown University  , USA    
  27,54  ,  Washington University in St. Louis  , USA    
  28,56  ,  University of North Carolina at Chapel Hill  , USA    
  29,59  ,  University of California - Davis  , USA    
  30,64  ,  Purdue University  , USA    
  31,66  ,  University of Southern California  , USA    
  32,71  ,  University of Minnesota - Twin Cities  , USA    
  33,71  ,  Ohio State University  , USA    
  34,74  ,  Boston University  , USA    
  35,81  ,  Pennsylvania State University  , USA    
  36,82  ,  University of Maryland at College Park  , USA    
  37,84  ,  Emory University  , USA    
  38,86  ,  Rice University  , USA    
  39,93  ,  Michigan State University  , USA    
  40,96  ,  University of California - Irvine  , USA    
  41,99  ,  Dartmouth College  , USA    
  42,107  ,  University of Virginia  , USA    
  43,109  ,  Georgetown University  , USA    
  44,110  ,  University of Pittsburgh  , USA    
  45,114  ,  University of Colorado at Boulder  , USA    
  46,121  ,  Vanderbilt University  , USA    
  47,123  ,  Arizona State University  , USA    
  48,132  ,  Case Western Reserve University  , USA    
  49,146  ,  Indiana University at Bloomington  , USA    
  50,152  ,  Tufts University  , USA    
  51,156  ,  University of Florida  , USA    
  52,159  ,  University of Arizona  , USA    
  53,163  ,  University of Rochester  , USA    
  54,167  ,  University of California - Santa Cruz  , USA    
  55,171  ,  Texas A&M University  , USA    
  56,173  ,  University of Notre Dame  , USA    
  57,176  ,  Rutgers - The State University of New Jersey  , USA    
  58,179  ,  University of Alabama at Birmingham  , USA    
  59,181  ,  George Washington University  , USA    
  60,184  ,  Northeastern University  , USA    
  61,201-250  ,  University of California - Riverside  , USA    
  62,201-250  ,  University of Miami  , USA    
  63,201-250  ,  University of Hawaii at Manoa  , USA    
  64,201-250  ,  University of Iowa  , USA    
  65,201-250  ,  Brandeis University  , USA    
  66,201-250  ,  University of Massachusetts (System)  , USA    
  67,201-250  ,  State University of New York at Buffalo  , USA    
  68,201-250  ,  University of Utah  , USA    
  69,201-250  ,  College of William and Mary  , USA    
  70,251-300  ,  Colorado School of Mines  , USA    
  71,251-300  ,  University of Delaware  , USA    
  72,251-300  ,  Florida State University  , USA    
  73,251-300  ,  University of South Florida  , USA    
  74,251-300  ,  University of Illinois at Chicago  , USA    
  75,251-300  ,  Clark University  , USA    
  76,251-300  ,  State University of New York at Stony Brook  , USA    
  77,251-300  ,  Syracuse University  , USA    
  78,251-300  ,  North Carolina State University  , USA    
  79,251-300  ,  Wake Forest University  , USA    
  80,251-300  ,  University of Cincinnati  , USA    
  81,251-300  ,  Oregon Health and Science University  , USA    
  82,251-300  ,  University of Texas at Dallas  , USA    
  83,251-300  ,  Virginia Polytechnic Institute and State University  , USA    
  84,301-350  ,  University of Alaska - Fairbanks  , USA    
