# University Ranking Results - www.universityrankings.ch
# Ranking: Times
# Year: 2020
#
   #    ,  World Rank                   ,  Institution                   ,  Country                   ,   
  1,2  ,  California Institute of Technology - Caltech  , USA    
  2,4  ,  Stanford University  , USA    
  3,5  ,  Massachusetts Institute of Technology - MIT  , USA    
  4,6  ,  Princeton University  , USA    
  5,7  ,  Harvard University  , USA    
  6,8  ,  Yale University  , USA    
  7,9  ,  University of Chicago  , USA    
  8,11  ,  University of Pennsylvania  , USA    
  9,12  ,  Johns Hopkins University  , USA    
  10,13  ,  University of California - Berkeley  , USA    
  11,16  ,  Columbia University  , USA    
  12,17  ,  University of California - Los Angeles  , USA    
  13,19  ,  Cornell University  , USA    
  14,20  ,  Duke University  , USA    
  15,21  ,  University of Michigan - Ann Arbor  , USA    
  16,22  ,  Northwestern University  , USA    
  17,26  ,  University of Washington  , USA    
  18,27  ,  Carnegie Mellon University  , USA    
  19,29  ,  New York University  , USA    
  20,31  ,  University of California - San Diego  , USA    
  21,38  ,  Georgia Institute of Technology  , USA    
  22,38  ,  University of Texas at Austin  , USA    
  23,48  ,  University of Illinois at Urbana-Champaign  , USA    
  24,51  ,  University of Wisconsin-Madison  , USA    
  25,52  ,  Washington University in St. Louis  , USA    
  26,53  ,  Brown University  , USA    
  27,54  ,  University of North Carolina at Chapel Hill  , USA    
  28,55  ,  University of California - Davis  , USA    
  29,57  ,  University of California - Santa Barbara  , USA    
  30,61  ,  Boston University  , USA    
  31,62  ,  University of Southern California  , USA    
  32,70  ,  Ohio State University  , USA    
  33,78  ,  Pennsylvania State University  , USA    
  34,79  ,  University of Minnesota  , USA    
  35,80  ,  Emory University  , USA    
  36,84  ,  Michigan State University  , USA    
  37,88  ,  Purdue University  , USA    
  38,91  ,  University of Maryland at College Park  , USA    
  39,94  ,  Dartmouth College  , USA    
  40,96  ,  University of California - Irvine  , USA    
  41,102  ,  Georgetown University  , USA    
  42,104  ,  University of Arizona  , USA    
  43,105  ,  Rice University  , USA    
  44,107  ,  University of Virginia  , USA    
  45,113  ,  University of Pittsburgh  , USA    
  46,116  ,  Vanderbilt University  , USA    
  47,119  ,  Case Western Reserve University  , USA    
  48,124  ,  University of Colorado at Boulder  , USA    
  49,134  ,  Indiana University at Bloomington  , USA    
  50,139  ,  Tufts University  , USA    
  51,155  ,  Arizona State University  , USA    
  52,157  ,  University of Notre Dame  , USA    
  53,168  ,  Rutgers - The State University of New Jersey  , USA    
  54,172  ,  University of Alabama at Birmingham  , USA    
  55,173  ,  Northeastern University  , USA    
  56,173  ,  University of Rochester  , USA    
  57,175  ,  University of Florida  , USA    
  58,178  ,  Texas A&M University  , USA    
  59,179  ,  University of California - Santa Cruz  , USA    
  60,198  ,  George Washington University  , USA    
  61,201-250  ,  Howard University  , USA    
  62,201-250  ,  University of Miami  , USA    
  63,201-250  ,  University of South Florida  , USA    
  64,201-250  ,  University of Hawaii at Manoa  , USA    
  65,201-250  ,  University of Iowa  , USA    
  66,201-250  ,  Brandeis University  , USA    
  67,201-250  ,  University of Massachusetts (System)  , USA    
  68,201-250  ,  Wake Forest University  , USA    
  69,201-250  ,  University of Utah  , USA    
  70,201-250  ,  College of William and Mary  , USA    
  71,201-250  ,  Virginia Polytechnic Institute and State University  , USA    
  72,251-300  ,  University of California - Riverside  , USA    
  73,251-300  ,  University of Delaware  , USA    
  74,251-300  ,  Florida State University  , USA    
  75,251-300  ,  University of Illinois at Chicago  , USA    
  76,251-300  ,  State University of New York at Buffalo  , USA    
  77,251-300  ,  Syracuse University  , USA    
  78,251-300  ,  University of Cincinnati  , USA    
  79,251-300  ,  Oregon Health and Science University  , USA    
  80,251-300  ,  University of Oregon  , USA    
  81,251-300  ,  George Mason University  , USA    
  82,301-350  ,  Colorado School of Mines  , USA    
  83,301-350  ,  Nova Southeastern University  , USA    
  84,301-350  ,  Rush University  , USA    
  85,301-350  ,  Tulane University  , USA    
  86,301-350  ,  Boston College  , USA    
  87,301-350  ,  University of New Mexico  , USA    
  88,301-350  ,  State University of New York at Stony Brook  , USA    
  89,301-350  ,  North Carolina State University  , USA    
  90,301-350  ,  Temple University  , USA    
  91,301-350  ,  University of Tennessee - Knoxville  , USA    
  92,301-350  ,  University of Texas at Dallas  , USA    
  93,351-400  ,  University of Alaska - Fairbanks  , USA    
  94,351-400  ,  University of California - Merced  , USA    
  95,351-400  ,  University of Denver  , USA    
  96,351-400  ,  University of Connecticut  , USA    
  97,351-400  ,  Iowa State University  , USA    
  98,351-400  ,  Clark University  , USA    
  99,351-400  ,  Wayne State University  , USA    
  100,351-400  ,  Hofstra University  , USA    
  101,351-400  ,  State University of New York at Albany  , USA    
  102,351-400  ,  Oregon State University  , USA    
  103,351-400  ,  Washington State University  , USA    
  104,401-500  ,  Colorado State University  , USA    
  105,401-500  ,  American University  , USA    
  106,401-500  ,  Georgia State University  , USA    
  107,401-500  ,  University of Georgia  , USA    
  108,401-500  ,  University of Kansas  , USA    
  109,401-500  ,  University of Kentucky  , USA    
  110,401-500  ,  University of Missouri - Columbia  , USA    
  111,401-500  ,  University of Missouri - St. Louis  , USA    
  112,401-500  ,  University of Nebraska - Lincoln  , USA    
  113,401-500  ,  New Mexico Institute of Mining and Technology  , USA    
  114,401-500  ,  Rensselaer Polytechnic Institute  , USA    
  115,401-500  ,  Oklahoma State University  , USA    
  116,401-500  ,  University of Tulsa  , USA    
  117,401-500  ,  Drexel University  , USA    
  118,401-500  ,  University of South Carolina  , USA    
  119,401-500  ,  University of Houston  , USA    
  120,401-500  ,  University of Texas at San Antonio  , USA    
  121,401-500  ,  University of Alabama  , USA    
  122,501-600  ,  Northern Arizona University  , USA    
  123,501-600  ,  San Diego State University  , USA    
  124,501-600  ,  Florida International University  , USA    
  125,501-600  ,  University of Idaho  , USA    
  126,501-600  ,  Louisiana State University  , USA    
  127,501-600  ,  University of Nebraska Medical Center  , USA    
  128,501-600  ,  New Jersey Institute of Technology  , USA    
  129,501-600  ,  Binghamton University  , USA    
  130,501-600  ,  University of Rhode Island  , USA    
  131,501-600  ,  University of Wisconsin-Milwaukee  , USA    
  132,501-600  ,  Missouri University of Science and Technology  , USA    
  133,501-600  ,  University of Alabama in Huntsville  , USA    
  134,601-800  ,  University of Arkansas at Fayetteville  , USA    
  135,601-800  ,  University of Central Florida  , USA    
  136,601-800  ,  Kansas State University  , USA    
  137,601-800  ,  University of Maryland Baltimore County  , USA    
  138,601-800  ,  Worcester Polytechnic Institute  , USA    
  139,601-800  ,  Montana State University  , USA    
  140,601-800  ,  Creighton University  , USA    
  141,601-800  ,  University of Nevada - Las Vegas  , USA    
  142,601-800  ,  Stevens Institute of Technology  , USA    
  143,601-800  ,  New Mexico State University  , USA    
  144,601-800  ,  University of North Carolina at Greensboro  , USA    
  145,601-800  ,  Kent State University  , USA    
  146,601-800  ,  Ohio University  , USA    
  147,601-800  ,  University of Toledo  , USA    
  148,601-800  ,  Portland State University  , USA    
  149,601-800  ,  Clemson University  , USA    
  150,601-800  ,  University of South Dakota  , USA    
  151,601-800  ,  Baylor University  , USA    
  152,601-800  ,  Texas Technical University  , USA    
  153,601-800  ,  University of Texas at Arlington  , USA    
  154,601-800  ,  Old Dominion University  , USA    
  155,601-800  ,  Western Washington University  , USA    
  156,601-800  ,  West Virginia University  , USA    
  157,601-800  ,  Auburn University  , USA    
  158,601-800  ,  Lehigh University  , USA    
  159,801-1000  ,  Embry-Riddle Aeronautical University  , USA    
  160,801-1000  ,  Florida Atlantic University  , USA    
  161,801-1000  ,  Florida Institute of Technology  , USA    
  162,801-1000  ,  Louisiana Technology University  , USA    
  163,801-1000  ,  Mississippi State University  , USA    
  164,801-1000  ,  The New School  , USA    
  165,801-1000  ,  Rochester Institute of Technology  , USA    
  166,801-1000  ,  University of Texas at El Paso  , USA    
  167,801-1000  ,  Marquette University  , USA      
