UNITID,STABBR
100654,AL
100663,AL
100690,AL
100706,AL
100724,AL
100751,AL
100760,AL
100812,AL
100830,AL
100858,AL
100937,AL
101028,AL
101116,AL
101143,AL
101161,AL
101189,AL
101240,AL
101277,AL
101286,AL
101295,AL
101301,AL
101365,AL
101435,AL
101453,AL
101462,AL
101471,AL
101480,AL
101505,AL
101514,AL
101541,AL
101569,AL
101587,AL
101602,AL
101648,AL
101675,AL
101693,AL
101709,AL
101736,AL
101879,AL
101897,AL
101912,AL
101994,AL
102030,AL
102049,AL
102067,AL
102076,AL
102094,AL
102234,AL
102270,AL
102298,AL
102313,AL
102368,AL
102377,AL
102395,AL
102429,AL
102553,AK
102580,AK
102614,AK
102632,AK
102669,AK
102711,AK
102845,WA
103501,AK
103741,AZ
103893,AZ
103909,AZ
103927,AZ
103954,AZ
103963,AZ
104090,AZ
104151,AZ
104160,AZ
104179,AZ
104346,AZ
104391,AZ
104425,AZ
104443,AZ
104568,AZ
104577,AZ
104586,AZ
104665,AZ
104708,AZ
104717,AZ
105145,AZ
105154,AZ
105206,AZ
105215,AZ
105297,AZ
105330,AZ
105349,AZ
105367,AZ
105428,AZ
105525,AZ
105534,AZ
105543,NM
105589,AZ
105659,AZ
105668,AZ
105677,AZ
105747,AZ
105792,AZ
105899,AZ
106041,AZ
106111,AZ
106148,AZ
106245,AR
106263,AR
106306,AR
106315,AR
106324,AR
106342,AR
106351,AR
106360,AR
106397,AR
106412,AR
106449,AR
106458,AR
106467,AR
106485,AR
106494,AR
106546,AR
106625,AR
106704,AR
106713,AR
106795,AR
106810,AR
106883,AR
106892,AR
106908,AR
106980,AR
106999,AR
107044,AR
107071,AR
107080,AR
107099,AR
107123,AR
107141,AR
107220,AR
107293,AR
107318,AR
107327,AR
107442,AR
107460,AR
107488,AR
107512,AR
107521,AR
107549,AR
107558,AR
107585,AR
107600,AR
107619,AR
107637,AR
107655,AR
107664,AR
107725,AR
107743,AR
107789,AR
107831,AR
107840,AR
107877,AR
107974,AR
107983,AR
107992,AR
108065,AR
108092,AR
108232,CA
108269,CA
108667,CA
108807,CA
108852,CA
108861,CA
108870,CA
108977,CA
109040,CA
109086,CA
109208,CA
109350,CA
109651,CA
109721,CA
109730,CA
109785,CA
109819,CA
109907,CA
109934,CA
110060,CA
110097,CA
110194,CA
110219,AZ
110246,CA
110316,CA
110334,CA
110361,CA
110370,CA
110398,CA
110404,CA
110413,CA
110422,CA
110468,CA
110486,CA
110495,CA
110510,CA
110529,CA
110538,CA
110547,CA
110556,CA
110565,CA
110574,CA
110583,CA
110592,CA
110608,CA
110617,CA
110635,CA
110644,CA
110653,CA
110662,CA
110671,CA
110680,CA
110699,CA
110705,CA
110714,CA
110778,CA
110875,CA
110918,CA
111045,CA
111054,CA
111081,CA
111188,CA
111391,CA
111434,CA
111461,CA
111513,CA
111638,CA
111708,CA
111717,CA
111726,CA
111744,CA
111762,CA
111799,CA
111887,CA
111896,CA
111920,CA
111939,CA
111948,CA
111966,CA
112075,CA
112084,CA
112127,CA
112172,CA
112181,CA
112190,CA
112251,CA
112260,CA
112288,CA
112367,CA
112385,CA
112394,CA
112455,CA
112525,CA
112561,CA
112570,CA
112686,CA
112826,CA
113096,CA
113111,CA
113193,CA
113218,CA
113236,CA
113333,CA
113449,CA
113537,CA
113573,CA
113582,CA
113634,CA
113698,CA
113704,CA
113856,CA
113980,CA
114114,CA
114123,CA
114266,CA
114354,CA
114390,CA
114433,CA
114460,CA
114549,CA
114585,CA
114637,CA
114716,CA
114734,CA
114761,CA
114789,CA
114813,CA
114840,CA
114859,CA
114938,CA
114947,CA
115001,CA
115010,CA
115083,CA
115126,CA
115214,CA
115296,CA
115357,CA
115393,CA
115409,CA
115658,CA
115728,CA
115746,CA
115755,CA
115773,CA
115861,CA
115931,CA
116226,CA
116350,CA
116439,CA
116563,CA
116846,CA
117052,CA
117104,CA
117140,CA
117168,CA
117195,CA
117238,CA
117247,CA
117274,CA
117283,CA
117520,CA
117557,CA
117575,CA
117627,CA
117636,CA
117645,CA
117672,CA
117690,CA
117706,CA
117715,CA
117724,CA
117733,CA
117751,CA
117788,CA
117803,CA
117867,CA
117894,CA
117946,CA
117955,CA
118134,CA
118143,CA
118161,CA
118198,CA
118347,CA
118541,CA
118684,CA
118693,CA
118718,CA
118772,CA
118888,CA
118912,CA
118930,CA
118958,CA
118976,CA
118994,CA
119058,CA
119067,CA
119137,CA
119164,CA
119173,CA
119216,CA
119270,CA
119331,CA
119553,CA
119605,CA
119678,CA
119775,CA
119845,CA
119951,CA
120069,CA
120078,CA
120087,CA
120166,CA
120184,CA
120254,CA
120290,CA
120342,CA
120403,CA
120421,CA
120537,CA
120661,CA
120698,CA
120768,CA
120795,CA
120838,CA
120865,CA
120883,CA
120953,CA
120971,CA
121044,CA
121150,CA
121257,CA
121275,CA
121309,CA
121345,CA
121363,CA
121433,CA
121619,CA
121628,CA
121637,CA
121691,CA
121707,CA
121859,CA
121868,CA
121886,CA
121901,CA
121992,CA
122117,CA
122180,CA
122205,CA
122296,CA
122339,CA
122375,CA
122384,CA
122409,CA
122436,CA
122454,CA
122506,CA
122597,CA
122612,CA
122649,CA
122658,CA
122685,CA
122694,CA
122728,CA
122746,CA
122755,CA
122791,CA
122834,CA
122852,CA
122889,CA
122931,CA
122977,CA
123013,CA
123095,CA
123165,CA
123217,CA
123280,CA
123299,CA
123341,CA
123350,CA
123448,CA
123457,CA
123484,CA
123493,CA
123509,CA
123527,CA
123554,CA
123563,CA
123572,CA
123633,CA
123642,CA
123651,CA
123679,CA
123800,CA
123855,CA
123916,CA
123943,CA
123952,CA
123961,CA
123970,CA
124113,CA
124283,CA
124292,CA
124487,CA
124681,CA
124706,CA
124937,CA
125028,CA
125037,CA
125082,CA
125091,CA
125170,CA
125231,MN
125310,CA
125462,CA
125471,CA
125499,CA
125532,CA
125718,CA
125727,CA
125763,CA
125897,CA
126012,CA
126049,CA
126076,CA
126119,CA
126164,CO
126182,CO
126207,CO
126289,CO
126359,CO
126562,CO
126580,CO
126605,CO
126614,CO
126669,CO
126678,CO
126687,CO
126711,CO
126748,CO
126775,CO
126784,CO
126818,CO
126827,CO
126863,CO
126915,CO
126942,CO
126951,CO
126979,CO
127060,CO
127158,CO
127185,CO
127200,CO
127273,CO
127316,CO
127389,CO
127556,CO
127565,CO
127617,CO
127653,CO
127714,CO
127732,CO
127741,CO
127778,CO
127820,CO
127884,CO
127909,CO
127918,CO
127945,CO
127954,CO
128106,CO
128151,CO
128179,CO
128188,CO
128258,CO
128328,CO
128337,CO
128391,CO
128498,CT
128577,CT
128586,NY
128744,CT
128771,CT
128780,CT
128896,CT
128902,CT
129002,CT
129020,CT
129154,CT
129181,CT
129215,CT
129242,CT
129349,CT
129367,CT
129428,CT
129482,CT
129491,CT
129525,CT
129534,CT
129543,CT
129695,CT
129729,CT
129756,CT
129774,CT
129808,CT
129923,CT
129932,CT
129941,CT
130004,CT
130040,CT
130110,CT
130174,CT
130183,CT
130217,CT
130226,CT
130253,CT
130314,CT
130396,CT
130493,CT
130509,CT
130590,CT
130606,CT
130624,CT
130697,CT
130776,CT
130794,CT
130837,DE
130873,DE
130907,DE
130934,DE
130943,DE
130989,DE
131061,DE
131098,DE
131113,DE
131159,DC
131283,DC
131399,DC
131405,DC
131450,DC
131469,DC
131496,DC
131520,DC
131803,DC
131830,DC
131876,DC
131973,DC
132374,FL
132408,FL
132471,FL
132602,FL
132657,FL
132675,FL
132693,FL
132709,FL
132842,FL
132851,FL
132879,FL
132903,FL
132976,FL
133021,FL
133155,FL
133386,FL
133465,FL
133492,FL
133508,FL
133526,FL
133553,FL
133650,FL
133669,FL
133702,FL
133711,FL
133809,FL
133845,FL
133854,FL
133863,FL
133872,FL
133881,FL
133942,FL
133951,FL
133960,FL
133979,FL
133997,FL
134024,FL
134079,FL
134097,FL
134130,FL
134228,FL
134237,FL
134291,FL
134307,FL
134343,FL
134422,FL
134495,FL
134510,FL
134529,FL
134574,FL
134608,FL
134714,FL
134811,FL
134945,FL
135081,FL
135142,FL
135160,FL
135179,FL
135188,FL
135267,FL
135276,FL
135294,FL
135337,FL
135364,GA
135391,FL
135407,FL
135522,FL
135559,FL
135610,FL
135647,FL
135717,FL
135726,FL
135735,FL
136109,FL
136145,FL
136172,FL
136215,FL
136233,FL
136303,FL
136330,FL
136358,FL
136400,FL
136473,FL
136491,FL
136516,FL
136659,FL
136701,FL
136765,FL
136774,FL
136826,FL
136950,FL
137023,FL
137032,FL
137078,FL
137087,FL
137096,FL
137120,FL
137209,FL
137245,FL
137272,FL
137281,FL
137315,FL
137351,FL
