"UNITID","CONTROL"
"100654","Public"
"100663","Public"
"100690","Private, nonprofit"
"100706","Public"
"100724","Public"
"100751","Public"
"100760","Public"
"100812","Public"
"100830","Public"
"100858","Public"
"100937","Private, nonprofit"
"101028","Public"
"101073","Private, nonprofit"
"101116","Private, for-profit"
"101143","Public"
"101161","Public"
"101189","Private, nonprofit"
"101240","Public"
"101277","Private, for-profit"
"101286","Public"
"101295","Public"
"101301","Public"
"101365","Private, nonprofit"
"101435","Private, nonprofit"
"101453","Private, nonprofit"
"101462","Public"
"101471","Public"
"101480","Public"
"101505","Public"
"101514","Public"
"101541","Private, nonprofit"
"101569","Public"
"101587","Public"
"101602","Public"
"101648","Public"
"101675","Private, nonprofit"
"101693","Private, nonprofit"
"101709","Public"
"101736","Public"
"101879","Public"
"101897","Public"
"101912","Private, nonprofit"
"101994","Public"
"102030","Public"
"102049","Private, nonprofit"
"102058","Private, nonprofit"
"102067","Public"
"102076","Public"
"102094","Public"
"102234","Private, nonprofit"
"102270","Private, nonprofit"
"102298","Private, nonprofit"
"102313","Public"
"102368","Public"
"102377","Private, nonprofit"
"102395","Private, nonprofit"
"102429","Public"
"102553","Public"
"102580","Private, nonprofit"
"102614","Public"
"102632","Public"
"102669","Private, nonprofit"
"102711","Public"
"102845","Private, for-profit"
"103501","Private, for-profit"
"103741","Private, for-profit"
"103811","Private, for-profit"
"103893","Private, for-profit"
"103909","Private, for-profit"
"103927","Private, for-profit"
"103945","Private, nonprofit"
"103954","Private, for-profit"
"103963","Private, for-profit"
"104090","Private, for-profit"
"104151","Public"
"104160","Public"
"104179","Public"
"104188","Private, nonprofit"
"104346","Public"
"104391","Private, for-profit"
"104425","Public"
"104434","Private, for-profit"
"104443","Private, for-profit"
"104504","Private, for-profit"
"104568","Private, for-profit"
"104577","Public"
"104586","Private, nonprofit"
"104665","Private, nonprofit"
"104708","Public"
"104717","Private, for-profit"
"105145","Public"
"105154","Public"
"105206","Public"
"105215","Private, for-profit"
"105297","Public"
"105330","Public"
"105349","Public"
"105367","Private, nonprofit"
"105428","Public"
"105482","Private, for-profit"
"105525","Public"
"105534","Private, for-profit"
"105543","Private, for-profit"
"105589","Private, nonprofit"
"105659","Private, for-profit"
"105668","Public"
"105677","Private, for-profit"
"105747","Public"
"105792","Public"
"105899","Private, nonprofit"
"106041","Private, for-profit"
"106102","Private, for-profit"
"106111","Private, for-profit"
"106148","Public"
"106245","Public"
"106263","Public"
"106306","Private, nonprofit"
"106315","Private, for-profit"
"106324","Private, for-profit"
"106342","Private, nonprofit"
"106351","Private, for-profit"
"106360","Private, for-profit"
"106397","Public"
"106412","Public"
"106449","Public"
"106458","Public"
"106467","Public"
"106485","Public"
"106494","Private, for-profit"
"106546","Private, nonprofit"
"106625","Public"
"106704","Public"
"106713","Private, nonprofit"
"106795","Public"
"106810","Private, nonprofit"
"106829","Public"
"106883","Public"
"106892","Private, for-profit"
"106908","Private, for-profit"
"106980","Public"
"106999","Public"
"107044","Private, nonprofit"
"107071","Public"
"107080","Private, nonprofit"
"107099","Private, for-profit"
"107123","Private, nonprofit"
"107141","Private, nonprofit"
"107220","Private, for-profit"
"107293","Private, for-profit"
"107318","Public"
"107327","Public"
"107442","Private, for-profit"
